# Each line has information on a detected BGP prefix hijacking
# Format: Comma-separated columns
# Column 1: AS responsible for the hijacking
# Column 2: AS victim of the hijacking
# Column 3: Hijacking start date and time
# Column 4: Hijacking end date and time
# Missing end time indicates that the hijack has persisted
55470,6453,28/04/18 09:06,28/04/18 14:05
19693,14453,25/10/18 05:59,08/11/18 03:11
30689,138348,25/10/18 04:48,25/10/18 05:17
202759,35913,24/10/18 18:21,07/11/18 16:52
2,10,28/04/18 12:55,28/04/18 12:56
202759,35913,24/10/18 18:21,07/11/18 16:52
46562,2238,24/10/18 15:25,25/10/18 08:44
39010,394869,24/10/18 12:17,24/10/18 12:21
134450,204472,28/04/18 14:21,28/04/18 15:10
43818,5588,24/10/18 12:06,06/11/18 10:53
197140,206066,28/04/18 16:20,10/05/18 14:37
8732,206066,28/04/18 16:21,28/04/18 16:44
393612,3549,28/04/18 16:23,28/04/18 16:49
4812,4515,24/10/18 08:20,07/11/18 05:53
8387,1759,28/04/18 20:36,12/05/18 17:03
8387,1759,28/04/18 20:36,12/05/18 17:03
50245,202436,24/10/18 07:42,27/10/18 06:49
50245,202436,24/10/18 07:42,27/10/18 06:49
9656,134190,24/10/18 04:41,24/10/18 05:54
9656,45352,24/10/18 04:40,24/10/18 05:56
58466,6453,24/10/18 02:44,24/10/18 02:49
200967,6453,24/10/18 02:01,24/10/18 03:41
7160,43894,23/10/18 19:37,06/11/18 18:10
210250,266400,23/10/18 13:07,23/10/18 13:09
205422,7063,23/10/18 03:18,05/11/18 23:10
205422,7063,23/10/18 03:18,06/11/18 00:09
206412,50607,29/04/18 15:44,07/05/18 13:47
134883,6453,22/10/18 19:36,24/10/18 06:23
134883,6453,22/10/18 19:36,24/10/18 06:23
135816,6453,22/10/18 19:36,24/10/18 06:23
137672,6453,22/10/18 19:36,24/10/18 06:23
135184,6453,22/10/18 19:36,24/10/18 06:23
58678,6453,22/10/18 19:36,24/10/18 06:23
58678,6453,22/10/18 19:36,24/10/18 06:23
135844,6453,22/10/18 19:36,24/10/18 06:23
136676,6453,22/10/18 19:36,24/10/18 06:23
136676,6453,22/10/18 19:36,24/10/18 06:23
203912,5588,22/10/18 19:05,22/10/18 19:05
135744,6453,22/10/18 16:15,24/10/18 06:23
135744,6453,22/10/18 16:15,24/10/18 06:23
327797,37154,22/10/18 14:01,22/10/18 14:57
137110,6453,22/10/18 11:52,24/10/18 04:25
20764,203669,30/04/18 04:58,14/05/18 02:02
201011,38333,30/04/18 12:31,30/04/18 12:31
137110,6453,22/10/18 11:52,24/10/18 04:25
137004,6453,22/10/18 11:52,24/10/18 04:24
134881,6453,22/10/18 11:52,24/10/18 04:24
203661,286,30/04/18 23:14,30/04/18 23:15
203661,286,30/04/18 23:14,30/04/18 23:14
203661,8455,01/05/18 03:09,01/05/18 12:09
134881,6453,22/10/18 11:52,24/10/18 04:25
136347,6453,22/10/18 11:52,24/10/18 04:24
137142,6453,22/10/18 11:52,24/10/18 04:25
137619,6453,22/10/18 11:52,24/10/18 04:25
136334,6453,22/10/18 11:52,24/10/18 04:25
134307,6453,22/10/18 11:52,24/10/18 04:24
134307,6453,22/10/18 11:52,24/10/18 04:24
7377,133217,01/05/18 07:51,14/05/18 17:04
134022,6453,22/10/18 11:52,24/10/18 04:24
37577,29614,01/05/18 08:14,14/05/18 15:48
37577,29614,01/05/18 08:14,14/05/18 15:37
133720,6453,22/10/18 11:52,24/10/18 04:25
135733,6453,22/10/18 11:52,24/10/18 04:24
135733,6453,22/10/18 11:52,24/10/18 04:25
133315,6453,22/10/18 11:52,24/10/18 04:25
32475,50607,01/05/18 14:41,01/05/18 15:41
134866,6453,22/10/18 11:52,24/10/18 04:25
133315,6453,22/10/18 11:52,24/10/18 04:25
133720,6453,22/10/18 11:52,24/10/18 04:24
136334,6453,22/10/18 11:52,24/10/18 04:24
18196,6453,22/10/18 11:52,24/10/18 04:25
18196,6453,22/10/18 11:52,24/10/18 04:24
45243,6453,22/10/18 11:52,24/10/18 04:24
45243,6453,22/10/18 11:52,24/10/18 04:31
134022,6453,22/10/18 11:52,24/10/18 04:24
135743,6453,22/10/18 11:52,24/10/18 04:24
7543,23969,21/10/18 22:59,03/11/18 18:17
41095,4809,02/05/18 06:25,15/05/18 11:02
41095,4809,02/05/18 06:25,15/05/18 10:50
45194,6453,20/10/18 07:33,20/10/18 22:39
262597,3549,20/10/18 03:40,03/11/18 01:01
262597,3356,20/10/18 03:39,03/11/18 01:08
